Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
,TEE DIGIT CAMO GRN 2X,TRUE,699170176198,13.95,3.29,TRUE,system,active,4,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL PNK MD         ,TRUE,699170177119,2.99,1.98,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL BLU 2X,TRUE,699170177102,4.99,3.68,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE EST 1885 CNY PNK SM,TRUE,699170176075,13.95,2.17,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE EST 1885 SGY MD     ,TRUE,699170176112,5.00,2.09,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE DIGITAL CAMO GRN SM,TRUE,699170176150,13.95,1.69,TRUE,system,active,5,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL BLU XL,TRUE,699170176389,7.95,1.98,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE EST 1885 SPORT GRY SM,TRUE,699170176105,13.95,2.09,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
, TEE DIGITCAMO BLK LG         ,TRUE,699170176143,5.00,1.69,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE DIGITAL CAMO GRN XL ,TRUE,699170176181,13.95,1.69,TRUE,system,active,5,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL BLU LG ,TRUE,699170176372,2.99,1.98,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL PNK LG,TRUE,699170177126,2.99,1.98,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE EST 1885 CNDY PNK LG ,TRUE,699170176099,13.95,2.17,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
, TEE DIGITCAMO BLK XL         ,TRUE,699170198176,13.95,1.69,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE DIGITAL CAMO GRN LG ,TRUE,699170176174,13.95,1.69,TRUE,system,active,5,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL BLU MD,TRUE,699170176365,2.99,1.98,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE EST 1885 CNDY PNK MD,TRUE,699170176082,13.95,2.17,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE EST 1885 SPORTS GRY LG ,TRUE,699170176129,13.95,2.09,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,TEE DIGITAL CAMO GRN MD ,TRUE,699170176167,13.95,1.69,TRUE,system,active,5,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE EST 1885 CNP PNK XL,TRUE,699170177829,7.49,2.17,TRUE,system,active,6,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL PNK SM,TRUE,699170178284,2.99,1.98,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL PNK 2X,TRUE,699170178307,4.99,4.61,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL PNK XL,TRUE,699170178291,7.95,1.98,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE NF BOX RED SM,TRUE,699170197827,7.95,1.84,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE NF BOX RED MD,TRUE,699170197834,2.99,1.84,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,WHT TEE NF BOX RED 2X,TRUE,699170197865,7.95,3.29,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,WHT TEE NF BOX BLU 2X,TRUE,699170197889,3.95,3.29,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,S WHT TEE SEAL BLU SM ,TRUE,699170197407,7.95,1.98,TRUE,system,active,3,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
,WHT TEE NF BOX RED LG,TRUE,699170197841,3.95,1.83,TRUE,system,active,2,tracked,,0,0,general,general,APPLE IMPRINTS APPAREL INC.,,,
